201501010000 	58361	闵行	2.3	2	4.2	0
201501010000 	58362	宝山	2.4	319	6.4	0
201501010000 	58365	嘉定	1.5	338	2.7	0
201501010000 	58367	徐家汇	2.6	194	1.6	0
201501010000 	58369	南汇	1.7	351	7.3	0
201501010000 	58370	浦东	2.6	318	2.8	0
201501010000 	58460	金山	////	////	////	0
201501010000 	58461	青浦	2.2	314	4.4	0
201501010000 	58462	松江	1.9	325	2.8	0
201501010000 	58463	奉贤	2.5	329	4.6	0
201501010300 	58361	闵行	1.2	7	3.6	0
201501010300 	58362	宝山	1.4	297	4.8	0
201501010300 	58365	嘉定	0.8	308	4.3	0
201501010300 	58367	徐家汇	1.7	311	1.7	0
201501010300 	58369	南汇	1.2	346	6.4	0
201501010300 	58370	浦东	1.4	301	3.9	0
201501010300 	58460	金山	////	////	////	0
201501010300 	58461	青浦	1	310	5.3	0
201501010300 	58462	松江	0.3	302	2.5	0
201501010300 	58463	奉贤	////	////	////	0
201501010600 	58361	闵行	-0.1	0	2.5	0
201501010600 	58362	宝山	0	272	5.1	0
201501010600 	58365	嘉定	-0.5	304	3.1	0
201501010600 	58367	徐家汇	0.6	345	2.4	0
201501010600 	58369	南汇	0.3	341	4.8	0
201501010600 	58370	浦东	0.3	221	1.1	0
201501010600 	58460	金山	////	////	////	0
201501010600 	58461	青浦	-0.7	284	2.5	0
201501010600 	58462	松江	-0.6	329	3.2	0
201501010900 	58361	闵行	1.7	324	3.4	0
201501010900 	58362	宝山	1.6	284	4.5	0
201501010900 	58365	嘉定	1.3	345	3.4	0
201501010900 	58367	徐家汇	0.9	289	0.7	0
201501010900 	58369	南汇	2.3	299	4.9	0
201501010900 	58370	浦东	2.6	246	1.5	0
201501010900 	58460	金山	2	338	3	0
201501010900 	58461	青浦	1.6	287	5.9	0
201501010900 	58462	松江	2.1	314	5.8	0
201501010900 	58463	奉贤	1.8	303	3.9	0
201501011200 	58361	闵行	4.9	303	5.6	0
201501011200 	58362	宝山	3.7	296	7.5	0
201501011200 	58365	嘉定	4.1	16	4.7	0
201501011200 	58367	徐家汇	3.8	267	2.9	0
201501011200 	58369	南汇	4.6	345	9.8	0
201501011200 	58370	浦东	4.7	266	3	0
201501011200 	58460	金山	5	329	5.2	0
201501011200 	58461	青浦	4.7	343	6.6	0
